Methods,overall_acc,1-digit_acc,2-digit_acc,carry0,carry1,carry2,carry3
No_pad,88.17345598,0,2.9,75.51530294,87.52131893,91.57803967,96.44787645
Zero_pad,97.73577277,98,96.2,95.87757651,98.60716316,98.73526876,94.98069498
Curriculum,98.13008947,100,99.7,98.87440758,98.63713799,98.12555787,95.93023256
Extra_Zero_pad,95.28501056,100,97.3,94.43127962,95.88302101,96.37012794,92.15116279
Reverse,99.7877287,98,99,99.68769519,99.80102331,99.91376832,99.53667954
Balanced_carry,98.29172142,100,99.7,98.37601499,97.55542922,99.02270767,98.22393822
$ Add $,95.12786819,0,45.5,90.88069956,95.62251279,97.03937913,93.8996139
$ Cur_bal $,97.17982412,89,70.2,97.3766396,96.16259238,97.61425697,98.53281853
$ Reverse Cur_bal $,99.98989184,100,100,100,99.97157476,100,100
$ Reverse cur_bal2 $,100,100,100,100,100,100,100
simplified AR,100,100,100,100,100,100,100